"","tracks","track_id","track_pop","artist","artist_full","artist_id","album","album_id","playlist_index","artist_name","artist_pop","artist_followers","genres"
"6114","End Credits","7JKNxNTc9GZMFLIT5fIWvg",36,"dné","dné","65lDioVoAjIBR4S1yYL8Bf","Nothing Like Before (Original Motion Picture Soundtrack)","2uu7KIkpPuQlmLrQQyzvNy",2,"dné",39,11513,"czech electronic"
"6115","A World at Peace","7dStBhN0AbvcisUF2IePZg",50,"Ibrahim","Ibrahim","38osEo6ebgNhOrlD5Xi4iZ","A World at Peace","3Z2Q8BNUFsZbUlUk2FhBbU",2,"Ibrahim",51,14865,"lo-fi beats"
"6116","sincerely, yours","3gV0E3N4uOcoNsbxLkGWkp",67,"Nohidea","Nohidea","5b0XQwyoJBFd3MwL2YxEPO","osho","3IeZJRDlyJdbgF64pkMlqc",2,"Nohidea",66,76011,"chillhop;lo-fi beats"
"6117","falling","6BaJbtoaYBIEXb1eykU3Jv",33,"aekasora","aekasora","14zYh9bbvvVtfJHQpzSGDa","Simple Things","0Lx7VVGGBhXVI0TJ3yCLyz",2,"aekasora",52,7166,"japanese chillhop"
"6118","Woof, Pt. 1","4rHhkKyZ0DV97uAmIwQdVU",46,"Panthurr","Panthurr","2NZPNX4jXljA8MsUTrrgNq","I Love U","0iv1ZkIAnqbHwqxuXZvoJZ",2,"Panthurr",50,24134,"chillhop"
"6119","Before the Night","2xbIB8namqQMtWw6FZ26VB",50,"Home","Home","2exebQUDoIoT0dXA8BcN1P","Before the Night","491kGL57gDkFdIPNvEjCNd",2,"Home",64,167850,"future funk"
"6120","It's Time","3K823vx7qAdqdfB0r2c7Gw",40,"TABAL","TABAL","3xGCm4ewXGKJFwrrwummsJ","It's Time","2anHnlToIEqTQwQao4EzqM",2,"TABAL",63,1571,"lo-fi beats"
"6121","Drifting","57xb5IHbcuGkZS773Vry6Y",30,"Benjamin Martins","Benjamin Martins","5oqbogYQRxno77NT1FFrt5","Sleepy Night","58i0MuedwG9ld4TuoJQVSU",2,"Benjamin Martins",60,1779,"background music"
"6122","Kaze","16FSb7d1bM4xeQQOr4CoBo",36,"Mura Kami","Mura Kami","1UMKAtfbQKKYEp8mvAHRWE","As Folhas","2P2LAtECja1EEXdRrAMzIL",2,"Mura Kami",47,4207,"lo-fi beats"
"6123","Koi","4ZHGOx9QAUHegHgaufg2pO",27,"Gyvus","Gyvus","6qNRi3Mn9apPNnMSt6Qbvn","Chillhop Essentials Spring 2017","1qINrjw5JR8Y2cV6yxd9na",2,"Gyvus",50,13419,"chillhop;japanese chillhop;lo-fi beats"
